iter	Passed	Remaining
0	1	55
1	2	49
2	2	46
3	3	43
4	4	43
5	5	42
6	6	42
7	7	41
8	8	40
9	9	39
10	10	38
11	12	38
12	13	37
13	14	36
14	15	35
15	15	33
16	16	32
17	17	31
18	18	30
19	19	29
20	21	29
21	21	27
22	23	27
23	24	26
24	25	25
25	26	24
26	27	23
27	28	22
28	29	21
29	29	19
30	30	18
31	31	17
32	32	16
33	33	15
34	34	14
35	35	13
36	36	12
37	37	11
38	38	10
39	39	9
40	40	8
41	41	7
42	42	6
43	43	5
44	44	4
45	45	3
46	47	3
47	47	1
48	49	1
49	50	0
